#type	list0	list1	both	rate(kbps)
I	2411	348	176	1541.94
P1	10703	0	359	648.90
P2	13083	0	953	1056.78
P3	14366	0	1534	1402.22
P4	14865	0	2414	1703.76
P5	14986	0	3437	1986.62
P6	15324	0	3988	2215.70
P7	14592	0	5318	2462.26
I	2411	348	176	1541.66
B1-1	4353	3546	3410	563.72
I	2435	312	169	1554.54
I	2411	348	176	1541.76
B1-2	7459	2586	3170	686.66
B2-1	3085	6690	4326	685.14
I	2366	337	169	1567.90
I	2411	348	176	1541.86
B1-3	9577	1605	2076	725.90
B2-2	5453	4846	4764	839.74
B3-1	2123	8794	4651	750.98
I	2509	313	195	1586.00
I	2411	348	176	1541.94
B1-4	10373	905	1188	740.58
B2-3	8706	3278	3703	942.02
B3-2	4628	6862	5588	969.64
B4-1	1459	10169	4413	796.38
I	2447	307	179	1595.26
I	2411	348	176	1542.02
B1-5	10013	331	495	759.94
B2-4	10691	2299	2771	1015.50
B3-3	6592	5321	5459	1104.94
B4-2	3166	9495	6025	1067.28
B5-1	819	10535	4037	800.92
I	2501	306	190	1609.58
I	2411	348	176	1542.20
B1-6	9990	160	411	784.32
B2-5	12175	1206	1300	1069.02
B3-4	9796	3597	4263	1197.20
B4-3	5504	7452	6110	1227.88
B5-2	1588	11615	5796	1130.06
B6-1	50	10176	4025	897.00
I	2385	323	198	1606.68
