#type	list0	list1	both	rate(kbps)
I	2411	348	176	1541.94
P1	11767	0	216	592.40
P2	14842	0	525	953.60
P3	16456	0	844	1257.28
P4	17301	0	1581	1547.56
P5	17766	0	2430	1837.78
P6	18113	0	3041	2103.86
P7	17762	0	4087	2314.54
I	2411	348	176	1541.66
B1-1	4731	3745	3649	567.46
I	2435	312	169	1554.54
I	2411	348	176	1541.76
B1-2	8219	2477	3214	682.58
B2-1	3144	7565	4719	687.32
I	2366	337	169	1567.90
I	2411	348	176	1541.86
B1-3	10332	1516	2076	711.24
B2-2	5939	5196	5103	841.58
B3-1	2094	9866	4797	737.04
I	2509	313	195	1586.00
I	2411	348	176	1541.94
B1-4	11319	767	980	719.00
B2-3	9560	3307	3908	926.28
B3-2	4819	7406	5871	950.18
B4-1	1519	11167	4739	780.42
I	2447	307	179	1595.26
I	2411	348	176	1542.02
B1-5	11267	313	376	716.42
B2-4	11887	2150	2660	988.04
B3-3	7544	5491	5605	1081.86
B4-2	3229	10549	6458	1041.48
B5-1	740	11698	4306	788.12
I	2501	306	190	1609.58
I	2411	348	176	1542.20
B1-6	11268	134	306	730.74
B2-5	13552	951	1270	1032.34
B3-4	10888	3564	4305	1167.82
B4-3	5930	8200	6565	1215.68
B5-2	1352	13430	6308	1116.90
B6-1	99	11854	4417	842.00
I	2385	323	198	1606.68
